S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-13,452.00,452.00,452.00,452.00,0.00,"1,000.00","452,000.00"
2,2024-11-20,495.0,495.0,495.0,495.0,0.0,"20,000.00","9,900,000.00"
3,2024-10-16,495.0,495.0,495.0,495.0,0.0,"20,000.00","9,900,000.00"
4,2024-09-29,495.0,495.0,495.0,495.0,0.0,"14,919.00","7,384,905.00"
5,2024-09-22,495.0,495.0,495.0,495.0,0.0,"50,000.00","24,750,000.00"
6,2024-01-23,366.0,366.0,366.0,366.0,0.0,"45,069.00","16,495,254.00"
7,2023-10-03,332.0,332.0,332.0,332.0,0.0,"10,000.00","3,320,000.00"
8,2022-07-04,466.0,466.0,466.0,466.0,0.0,"17,000.00","7,922,000.00"
9,2022-06-23,466.0,466.0,466.0,466.0,0.0,"12,305.00","5,734,130.00"
10,2022-06-21,466.0,466.0,466.0,466.0,0.0,"46,013.00","21,442,058.00"
